,대지위치,주용도코드명,자전거전용도로비율,stcnsDelayDay,실제착공일,지역코드명
668,서울특별시 강남구 개포동 1219-4번지,단독주택,20120525,20121003,20120529,도시지역
669,서울특별시 강남구 개포동 1219-5번지, , , , ,제2종일반주거지역
670,서울특별시 강남구 개포동 1219-12번지, , , , ,제2종일반주거지역
671,서울특별시 강남구 개포동 1219-12번지, , , , ,제2종일반주거지역
672,서울특별시 강남구 개포동 1219-12번지, , , , ,도시지역
673,서울특별시 강남구 개포동 1219-12번지,제2종근린생활시설,20160212, ,20160205,제2종일반주거지역
674,서울특별시 강남구 개포동 1219-13번지,제1종근린생활시설, , , ,도시지역
675,서울특별시 강남구 개포동 1221-1번지,제2종근린생활시설,20160610, ,20160610,도시지역
676,서울특별시 강남구 개포동 1221-11번지,단독주택, , , ,제2종일반주거지역
677,서울특별시 강남구 개포동 1221-11번지,공동주택,20140711, ,20140710,제2종일반주거지역
678,서울특별시 강남구 개포동 1221-11번지,제2종근린생활시설, , , ,제2종일반주거지역
679,서울특별시 강남구 개포동 1222번지,제1종근린생활시설,20131216, ,20131211,도시지역
680,서울특별시 강남구 개포동 1222-2번지, , , , ,제2종일반주거지역
681,서울특별시 강남구 개포동 1222-2번지,공동주택,20210727, ,20210728,도시지역
682,서울특별시 강남구 개포동 1222-7번지,제2종근린생활시설,20130529, ,20130603,제2종일반주거지역
683,서울특별시 강남구 개포동 1222-9번지,제2종근린생활시설, , , ,제2종일반주거지역
684,서울특별시 강남구 개포동 1223번지,제1종근린생활시설, , , ,상대보호구역
685,서울특별시 강남구 개포동 1223-1번지,제1종근린생활시설, , , ,도시지역
686,서울특별시 강남구 개포동 1223-1번지,제1종근린생활시설, , , ,상대보호구역
687,서울특별시 강남구 개포동 1224-1번지,단독주택,20131001, ,20130924,제2종일반주거지역
688,서울특별시 강남구 개포동 1224-2번지,공동주택,20220328, ,20220331,제2종일반주거지역
689,서울특별시 강남구 개포동 1224-4번지, , , , ,제2종일반주거지역
690,서울특별시 강남구 개포동 1224-4번지,공동주택,20190325, ,20190322,제2종일반주거지역
691,서울특별시 강남구 개포동 1225-2번지,단독주택,20200702, ,20200709,제2종일반주거지역
692,서울특별시 강남구 개포동 1225-3번지,제1종근린생활시설, , , ,제1종일반주거지역
